Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,0.710290,0.712911,0.708630,0.710290,0.710290,0
2022-08-15,0.711668,0.712418,0.701210,0.711668,0.711668,0
2022-08-16,0.702000,0.704100,0.699220,0.702000,0.702000,0
2022-08-17,0.701940,0.702600,0.691210,0.701940,0.701940,0
2022-08-18,0.693040,0.697107,0.689950,0.693040,0.693040,0
2022-08-19,0.691120,0.692000,0.685960,0.691120,0.691120,0
2022-08-22,0.687711,0.692360,0.686330,0.687711,0.687711,0
2022-08-23,0.687870,0.696209,0.685710,0.687870,0.687870,0
2022-08-24,0.692300,0.695372,0.687980,0.692300,0.692300,0
2022-08-25,0.690799,0.699300,0.690310,0.690799,0.690799,0
2022-08-26,0.696398,0.700599,0.691520,0.696398,0.696398,0
2022-08-29,0.686691,0.692713,0.684190,0.686691,0.686691,0
2022-08-30,0.690751,0.695797,0.685990,0.690751,0.690751,0
2022-08-31,0.685740,0.690422,0.684340,0.685740,0.685740,0
2022-09-01,0.682850,0.684360,0.677172,0.682850,0.682850,0
2022-09-02,0.679530,0.685380,0.678109,0.679530,0.679530,0
2022-09-05,0.679030,0.680411,0.677360,0.679030,0.679030,0
2022-09-06,0.681400,0.683500,0.673300,0.681400,0.681400,0
2022-09-07,0.673011,0.673630,0.670008,0.673011,0.673011,0
2022-09-08,0.675140,0.676350,0.671390,0.675140,0.675140,0
2022-09-09,0.676590,0.687711,0.676440,0.676590,0.676590,0
2022-09-12,0.684700,0.688920,0.682538,0.684700,0.684700,0
2022-09-13,0.689398,0.691800,0.676190,0.689398,0.689398,0
2022-09-14,0.674300,0.676018,0.670580,0.674300,0.674300,0
2022-09-15,0.675180,0.676970,0.670610,0.675180,0.675180,0
2022-09-16,0.668730,0.672700,0.667049,0.668730,0.668730,0
2022-09-19,0.672700,0.673111,0.667289,0.672700,0.672700,0
2022-09-20,0.673370,0.674741,0.668539,0.673370,0.673370,0
2022-09-21,0.669420,0.670400,0.665560,0.669420,0.669420,0
2022-09-22,0.661010,0.667147,0.657540,0.661010,0.661010,0
2022-09-23,0.664540,0.665549,0.653700,0.664540,0.664540,0
2022-09-26,0.653070,0.653680,0.645830,0.653070,0.653070,0
2022-09-27,0.647600,0.651240,0.644220,0.647600,0.647600,0
2022-09-28,0.643800,0.651249,0.636610,0.643800,0.643800,0
